Text,AdvText,Label,doc_ID
I am feeling great today.,I feel awesome today.,0,0
It is a beautiful day outside.,The weather is lovely today.,0,0
He is a talented musician.,He is very skilled at playing music.,0,0
I have a lot of work to do.,I am busy with many tasks.,0,0
She loves reading books.,She enjoys books a lot.,0,0
The movie was fantastic.,The film was amazing.,0,0
We are going to the beach tomorrow.,We will visit the beach tomorrow.,0,0
I need to study for my exam.,I have to prepare for my test.,0,0
I am looking forward to the weekend.,I can't wait for the weekend.,0,0
He uh alwuh ays helps others.,He is uh alwuh ays there to uh assist people.,1,1
The dinner was delicious.,The meal tasted great.,0,1
I am feeling tired right now. uh,I uh am exhuh austed uh at the moment.,1,1
She is very kind.,She has a kind heart.,0,1
My car is broken.,My vehicle is not working.,0,1
I enjoy listening to music.,"I, I love hearing music.",1,2
The cake was delicious.,The dessert wuh as very tuh asty.,1,2
"I, I am trying to be more productive.",I-I am working on improving my productivity.,1,2
The sky is clear today.,"Today, the sky is cloudless.",0,2
I am excited about the upcoming event.,I am looking forward to the upcoming event.,0,2
They are very close friends.,They are best friends.,0,2
I-I am proud of my achievements.,I feel accomplis uhhed about what I've done.,1,2
We have to leave soon.,We need to head out shortly.,0,2
"I, It is very cold outside.",The temperature is low outside.,1,2
The dog is barking loudly.,The dog is muh aking uh a lot of noise.,1,2
"I, I love going for walks.",I enjoy taking strolls. uh,1,2
She is a great cook.,She is an excellent chef.,0,3
I am feeling a little bit sick.,I am not feeling well.,0,3
He is always on time.,He is punctual.,0,3
My favorite color is blue.,I like the color blue the most.,0,3
I can't find my keys.,I lost my keys.,0,3
"I, I enjoy playing sports.",I like to play games.,1,3
The restaurant was very nice.,The dining place was great.,0,3
I need to get some rest. uh,"I, I have to sleep for a while.",1,3
It was a long day.,Today felt really long.,0,3
I am very hungry. uh,I feel starved.,1,3
The presentation went well.,The talk was successful.,1,3
I like watching movies.,I enjoy seeing films.,0,3
She has a beautiful smile.,Her smile is uh lovely.,1,4
I am reading an interesting book.,I am currently reading a fascinating novel.,0,4
He is a good listener.,He pays attention when others speak.,0,4
We should tuh ake uh a breuh ak.,Let's pause for a while.,1,4
My phone battery is uh dying.,My phone is uh almost out of chuh arge.,1,4
